countyfip,city,sex,age,language,poverty,diffrem,diffphys,diffmob,diffcare,diffeye,diffhear,vetstat,raceethn,diffany
17,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,318,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,121,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,446,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,471,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
3,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,128,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
5,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,480,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,404,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
